timestamp,gaze_x,gaze_y,blink,gaze_dir,head_status,ear_left,ear_right
4.4241,0.4406,0.66201,0,<- LEFT,FORWARD,0.289,0.3089
4.4887,0.4384,0.66253,0,<- LEFT,FORWARD,0.2802,0.3034
4.5402,0.43813,0.66272,0,<- LEFT,FORWARD,0.2903,0.3034
4.6097,0.43801,0.66282,0,<- LEFT,FORWARD,0.2903,0.2894
4.6775,0.43853,0.66306,0,<- LEFT,FORWARD,0.2903,0.3126
4.747,0.4389,0.66305,0,<- LEFT,FORWARD,0.2903,0.3126
4.804,0.43899,0.6631,0,<- LEFT,FORWARD,0.2903,0.3126
4.8675,0.43881,0.66291,0,<- LEFT,FORWARD,0.2903,0.2833
4.9245,0.43875,0.66282,0,<- LEFT,FORWARD,0.2903,0.2921
4.9752,0.43871,0.66274,0,<- LEFT,FORWARD,0.2764,0.2921
5.0252,0.43831,0.66276,0,<- LEFT,FORWARD,0.2884,0.2921
5.081,0.43824,0.66271,0,<- LEFT,FORWARD,0.2919,0.2921
5.1559,0.43801,0.66274,0,<- LEFT,FORWARD,0.2903,0.2921
5.2198,0.43723,0.66263,0,<- LEFT,FORWARD,0.3049,0.3126
5.3029,0.43712,0.66252,0,<- LEFT,FORWARD,0.3115,0.3126
5.3728,0.43669,0.66248,0,<- LEFT,FORWARD,0.3084,0.3126
5.4389,0.43679,0.66262,0,<- LEFT,FORWARD,0.2994,0.2977
5.5029,0.43672,0.6627,0,<- LEFT,FORWARD,0.2909,0.2833
5.5657,0.43649,0.66269,0,<- LEFT,FORWARD,0.2909,0.2833
5.6208,0.43659,0.66272,0,<- LEFT,FORWARD,0.2909,0.2833
5.6739,0.43665,0.66273,0,<- LEFT,FORWARD,0.2903,0.2833
5.7092,0.43665,0.66282,0,<- LEFT,FORWARD,0.3049,0.275
5.7897,0.43657,0.66295,0,<- LEFT,FORWARD,0.2909,0.2833
5.8508,0.43656,0.66308,0,<- LEFT,FORWARD,0.2769,0.2793
5.9042,0.43625,0.67342,0,<- LEFT,FORWARD,0.0919,0.0766
5.9757,0.43553,0.67472,0,<- LEFT,FORWARD,0.0658,0.0788
6.0421,0.43187,0.67027,0,<- LEFT,FORWARD,0.0893,0.1302
6.106,0.43321,0.66488,1,<- LEFT,FORWARD,0.2466,0.2499
6.1594,0.43111,0.66231,0,<- LEFT,FORWARD,0.2998,0.3126
6.2144,0.4306,0.66171,0,<- LEFT,FORWARD,0.3352,0.327
6.2615,0.42993,0.66079,0,<- LEFT,FORWARD,0.3156,0.3132
6.3215,0.42995,0.66003,0,<- LEFT,FORWARD,0.3029,0.3221
6.3903,0.42697,0.65927,0,<- LEFT,FORWARD,0.2857,0.3074
6.4493,0.41973,0.65569,0,<- LEFT,FORWARD,0.3065,0.2947
6.5219,0.41821,0.65495,0,<- LEFT,FORWARD,0.303,0.2769
6.5689,0.41481,0.65014,0,<- LEFT,FORWARD,0.2886,0.263
6.6506,0.41178,0.64736,0,<- LEFT,FORWARD,0.2608,0.2494
6.7144,0.41213,0.64711,0,<- LEFT,FORWARD,0.2607,0.2491
6.7781,0.40999,0.64619,0,<- LEFT,FORWARD,0.2816,0.2398
6.836,0.40945,0.6464,0,<- LEFT,FORWARD,0.269,0.226
6.9023,0.40768,0.64718,0,<- LEFT,FORWARD,0.2498,0.2395
6.9646,0.40676,0.65261,0,<- LEFT,FORWARD,0.277,0.2567
7.0301,0.40614,0.65423,0,<- LEFT,FORWARD,0.288,0.2537
7.1108,0.40597,0.66354,0,<- LEFT,FORWARD,0.3372,0.2972
7.1833,0.40639,0.67066,0,<- LEFT,FORWARD,0.2924,0.2559
7.225,0.40642,0.67156,0,<- LEFT,FORWARD,0.2812,0.274
7.2778,0.40738,0.67462,0,<- LEFT,FORWARD,0.3061,0.2875
7.3532,0.40857,0.6741,0,<- LEFT,FORWARD,0.3114,0.2884
7.4345,0.40892,0.67408,0,<- LEFT,FORWARD,0.3114,0.2919
7.4937,0.41037,0.67357,0,<- LEFT,FORWARD,0.3014,0.2793
7.5565,0.41215,0.67321,0,<- LEFT,FORWARD,0.2929,0.2842
7.6225,0.41264,0.67285,0,<- LEFT,FORWARD,0.2925,0.2842
7.7004,0.41758,0.67367,0,<- LEFT,FORWARD,0.2919,0.2836
7.7591,0.42109,0.67376,0,<- LEFT,FORWARD,0.3007,0.287
7.8276,0.42166,0.67354,0,<- LEFT,FORWARD,0.2823,0.2746
7.898,0.42608,0.67229,0,<- LEFT,FORWARD,0.3014,0.275
7.9492,0.42942,0.67179,0,<- LEFT,FORWARD,0.2836,0.2746
8.0207,0.43006,0.67162,0,<- LEFT,FORWARD,0.2884,0.3014
8.0837,0.43714,0.67298,0,<- LEFT,FORWARD,0.2693,0.2977
8.1487,0.43865,0.67345,0,<- LEFT,FORWARD,0.2972,0.3121
8.2303,0.43876,0.67367,0,<- LEFT,FORWARD,0.2972,0.2873
8.3087,0.43754,0.67422,0,<- LEFT,FORWARD,0.3109,0.2789
8.363,0.4372,0.67492,0,<- LEFT,FORWARD,0.31,0.2746
8.4121,0.43699,0.67508,0,<- LEFT,FORWARD,0.2802,0.3121
8.4599,0.43474,0.67503,0,<- LEFT,FORWARD,0.3007,0.2873
8.5234,0.43271,0.67494,0,<- LEFT,FORWARD,0.2967,0.2963
8.5847,0.43205,0.67488,0,<- LEFT,FORWARD,0.297,0.2873
